Empresas;Sector;Sentimiento;Noticias
Air Liquide;Industrial Services;;
adidas;Consumer Non-Durables;;
Adyen NV;Technology Services;;
Airbus;Electronic Technology;;
Allianz;Finance;;
Anheuser-Busch InBev;Consumer Non-Durables;;
ASML Holding;Electronic Technology;;
AXA;Finance;;
BBVA;Finance;;
Banco Santander;Finance;;
BASF;Producer Manufacturing;;
Bayer;Health Technology;;
Bayerische Motoren Werke;Consumer Durables;;
BNP Paribas;Finance;;
Compagnie de Saint-Gobain;Producer Manufacturing;;
Danone;Consumer Non-Durables;;
Deutsche Boerse;Finance;;
Deutsche Post;Transportation;;
Deutsche Telekom;Technology Services;;
Enel;Utilities;;
Eni SpA;Energy Minerals;;
EssilorLuxottica;Health Technology;;
Ferrari NV;Consumer Durables;;
Hermes International;Consumer Non-Durables;;
Iberdrola;Utilities;;
Industria de Diseno Textil;Retail Trade;;
Infineon Technologies;Electronic Technology;;
ING Groep;Finance;;
Intesa Sanpaolo;Finance;;
Kering;Consumer Non-Durables;;
Koninklijke Ahold Delhaize;Retail Trade;;
L'Oreal;Consumer Non-Durables;;
LVMH;Consumer Non-Durables;;
Mercedes-Benz Group;Consumer Durables;;
Munich Reinsurance;Finance;;
Nokia Oyj;Electronic Technology;;
Nordea Bank Abp;Finance;;
Pernod Ricard;Consumer Non-Durables;;
Prosus NV;Technology Services;;
Safran;Electronic Technology;;
Sanofi;Health Technology;;
SAP;Technology Services;;
Schneider Electric;Producer Manufacturing;;
Siemens Aktiengesellschaft;Producer Manufacturing;;
Stellantis;Consumer Durables;;
TotalEnergies;Energy Minerals;;
UniCredit;Finance;;
VINCI;Industrial Services;;
Volkswagen;Consumer Durables;;
Wolters Kluwer;Technology Services;;
